Vaccine  ,Price Tier (group) (4.2),Source,Year (Price),Avg. Price
TT,,UNICEF SD,2017,0.05310
TT,China & Lower Middle Income,V3P,2017,0.20125
TT,Upper Middle Income,V3P,2017,0.58074
TT,High Income & Super HICs,V3P,2017,3.19839
TT,,UNICEF SD,2016,0.05310
TT,China & Lower Middle Income,V3P,2016,0.37935
TT,Upper Middle Income,V3P,2016,0.84021
TT,High Income & Super HICs,V3P,2016,3.67025
TT,,UNICEF SD,2015,0.05000
TT,China & Lower Middle Income,V3P,2015,
TT,Upper Middle Income,V3P,2015,
TT,High Income & Super HICs,V3P,2015,
TT,,UNICEF SD,2014,0.05000
TT,China & Lower Middle Income,V3P,2014,
TT,Upper Middle Income,V3P,2014,
TT,High Income & Super HICs,V3P,2014,
TT,,UNICEF SD,2013,0.05000
TT,Upper Middle Income,V3P,2013,
TT,High Income & Super HICs,V3P,2013,
TT,,UNICEF SD,2012,0.02950
TT,China & Lower Middle Income,V3P,2012,
Typhoid Ps,,PAHO,2021,10.00000
Typhoid Ps,,PAHO,2020,10.00000
Typhoid Ps,Upper Middle Income,V3P,2020,6.52247
Typhoid Ps,High Income & Super HICs,V3P,2020,14.21969
Typhoid Ps,,PAHO,2019,10.00000
Typhoid Ps,Upper Middle Income,V3P,2019,6.93633
Typhoid Ps,High Income & Super HICs,V3P,2019,11.97052
Typhoid Ps,,PAHO,2018,9.00000
Typhoid Ps,Upper Middle Income,V3P,2018,11.28596
Typhoid Ps,High Income & Super HICs,V3P,2018,13.14583
Typhoid Ps,,PAHO,2017,9.00000
Typhoid Ps,Upper Middle Income,V3P,2017,8.28333
Typhoid Ps,High Income & Super HICs,V3P,2017,13.35990
Typhoid Ps,,PAHO,2016,8.90000
Typhoid Ps,Upper Middle Income,V3P,2016,4.55752
Typhoid Ps,High Income & Super HICs,V3P,2016,14.56155
Typhoid Ps,,PAHO,2015,8.90000
Typhoid Ps,Upper Middle Income,V3P,2015,
Typhoid Ps,High Income & Super HICs,V3P,2015,
Typhoid Ps,,PAHO,2014,8.20000
Typhoid Ps,Upper Middle Income,V3P,2014,
Typhoid Ps,High Income & Super HICs,V3P,2014,
Typhoid Ps,Upper Middle Income,V3P,2013,
Typhoid Ps,High Income & Super HICs,V3P,2013,
Typhoid Ps,,PAHO,2012,7.80000
Varicella,,PAHO,2021,15.36500
Varicella,USA,CDC,2021,112.87667
Varicella,,PAHO,2020,15.85000
Varicella,High Income & Super HICs,V3P,2020,33.88529
Varicella,USA,CDC,2020,107.53667
Varicella,,PAHO,2019,16.58940
Varicella,Upper Middle Income,V3P,2019,19.81052
Varicella,High Income & Super HICs,V3P,2019,24.35396
Varicella,USA,CDC,2019,102.62750
Varicella,,PAHO,2018,14.45900
Varicella,Upper Middle Income,V3P,2018,22.73307
Varicella,High Income & Super HICs,V3P,2018,35.20065
Varicella,USA,CDC,2018,95.13725
Varicella,,PAHO,2017,14.85020
Varicella,Upper Middle Income,V3P,2017,27.77000
Varicella,High Income & Super HICs,V3P,2017,35.26538
Varicella,USA,CDC,2017,84.96833
Varicella,,PAHO,2016,14.85020
Varicella,Upper Middle Income,V3P,2016,19.19465
Varicella,High Income & Super HICs,V3P,2016,43.13303
Varicella,USA,CDC,2016,86.35722
Varicella,,PAHO,2015,15.80000
Varicella,Upper Middle Income,V3P,2015,
Varicella,High Income & Super HICs,V3P,2015,
Varicella,USA,CDC,2015,81.96000
Varicella,,PAHO,2014,12.90000
Varicella,Upper Middle Income,V3P,2014,
Varicella,High Income & Super HICs,V3P,2014,
Varicella,USA,CDC,2014,77.34667
Varicella,,PAHO,2013,9.90000
Varicella,Upper Middle Income,V3P,2013,
Varicella,High Income & Super HICs,V3P,2013,
Varicella,USA,CDC,2013,74.72222
Varicella,,PAHO,2012,8.30000
Varicella,USA,CDC,2012,71.66320
YF,,UNICEF SD,2021,0.97000
YF,,PAHO,2021,1.35500
YF,,UNICEF SD,2020,0.88850
YF,,PAHO,2020,1.35500
YF,Upper Middle Income,V3P,2020,13.40691
YF,High Income & Super HICs,V3P,2020,36.59399
YF,,UNICEF SD,2019,0.88900
YF,,PAHO,2019,1.43000
YF,Upper Middle Income,V3P,2019,14.21672
YF,High Income & Super HICs,V3P,2019,25.45979
YF,,UNICEF SD,2018,0.97000
YF,,PAHO,2018,1.35500
YF,Upper Middle Income,V3P,2018,12.55818
YF,High Income & Super HICs,V3P,2018,26.47155
YF,,UNICEF SD,2017,0.84600
YF,,PAHO,2017,1.17470
YF,Upper Middle Income,V3P,2017,10.70930
YF,High Income & Super HICs,V3P,2017,35.76750
YF,,UNICEF SD,2016,0.76900
YF,,PAHO,2016,1.11320
YF,Upper Middle Income,V3P,2016,13.28945
YF,High Income & Super HICs,V3P,2016,25.35175
YF,,UNICEF SD,2015,0.76900
YF,,PAHO,2015,1.16700
YF,Upper Middle Income,V3P,2015,
YF,High Income & Super HICs,V3P,2015,
YF,,UNICEF SD,2014,0.69900
YF,,PAHO,2014,1.12500
YF,Upper Middle Income,V3P,2014,
YF,High Income & Super HICs,V3P,2014,
YF,,UNICEF SD,2013,0.70000
YF,,PAHO,2013,0.97500
YF,High Income & Super HICs,V3P,2013,
YF,,UNICEF SD,2012,0.66000
YF,,PAHO,2012,1.09000
